PALABRA_CLAVE;SINONIMOS;GRUPO 1;GRUPO 2;1.1;1.2;1.3;1.4;1.5;2.1;2.2;2.3;3.1;3.2;3.3;3.4;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;6.4;6.5
SOZI;SOSI;AUDIOVISUALES;SOFTWARE_LIBRE;;;;1;;;1;;1;;;;;;;1;;1;;;1;;1
TELEVISIÓN;TV, TELE;AUDIOVISUALES;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
TUXGUITAR;TAXGUITAR;AUDIOVISUALES;;;;;1;;;2;;1;;;;;;;;;1;;;1;;1
VIDEO;videos;AUDIOVISUALES;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
VIDEO PAD;VIDEOPAD;AUDIOVISUALES;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
ILLUSTRATOR;ILUSTRATOR;AUDIOVISUALES;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
QUICK ;QUIC;AUDIOVISUALES;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
STREAMING;STREMING;AUDIOVISUALES;COMUNICACION_INTERACTIVA;1;1;;1;;;1;;1;;1;;;;1;1;;1;;1;1;;
HANGOUTS;HANGUTS, CHATS, CHAT;COMUNICACION_INTERACTIVA;;1;1;;1;1;;;;1;;1;;;;;;;;;1;;;
TOKAPP;TOKAPP,TOKKAP,TOKAP,TOK-APP;COMUNICACION_INTERACTIVA;;1;1;;1;1;;;;1;;;;1;;;;;;;1;;;
JITSI;GITSY,GITTSI, GITSI;COMUNICACION_INTERACTIVA;;1;1;;1;1;;;;;;1;;;;1;;;;;1;;;
MEET;GOOGLE MEET;COMUNICACION_INTERACTIVA;;1;1;;1;1;;;;;;1;;;;1;;;;;1;;;
ZOOM;;COMUNICACION_INTERACTIVA;;1;1;;1;1;;;;;;1;;;;1;;;;;1;;;
SLACK;SLAC;COMUNICACION_INTERACTIVA;REDES;;;;1;;;1;;1;;1;1;1;;;;;;;;;;1
EMAIL;CORREO ELECTRÓNICO, CORREO ELECTRONICO, CORREO DIGITAL;COMUNICACION_INTERACTIVA;;1;1;;1;1;;;;1;;;;1;;;;;;;1;;;1
ARASAAC;ARAWORD, ARABOARD, PICTOSELECTOR, SAAC;COMUNICACION_INTERACTIVA;OFIMATICA;;;;;;1;1;1;1;;;;;;;1;1;;;;;;1
GOOGLE DRIVE;DRIVE, nube;NUBE;OFIMATICA;1;1;;1;1;1;1;1;1;;1;;1;1;1;;;;;1;;;1
propiedad intelectual;;NUBE;;;;;;1;;;1;;;;;;;;;;;;;1;;1
EXCEL;excell, base de datos;OFIMATICA;TTDD_PED_EVAL;;;;1;;;1;;1;;;;1;1;;;;1;;;1;;1
HOJAS DE CALCULO;hojas de calculo;OFIMATICA;TTDD_PED_EVAL;;;;1;;;1;;1;;;;1;1;;;;1;;;1;;1
LIBRE OFFICE BASE;LIBRE OFFICE, OPEN OFFICE, libreoffice;OFIMATICA;SOFTWARE_LIBRE;;;;1;;;1;;1;;;;;;;1;;1;;;1;;1
LIBRE OFFICE CALC;LIBRE OFFICE, OPEN OFFICE, libreoffice;OFIMATICA;SOFTWARE_LIBRE;;;;1;;;1;;1;;;;1;1;;1;;1;;;1;;1
LIBRE OFFICE DRAW AND MATH;LIBRE OFFICE, OPEN OFFICE;OFIMATICA;SOFTWARE_LIBRE;;;;1;;;1;;1;;;;1;;;1;;1;;;1;;1
LIBRE OFFICE IMPRESS;presentaciones, LIBRE OFFICE, OPEN OFFICE;OFIMATICA;SOFTWARE_LIBRE;;;;1;;;1;;1;;1;1;;;;1;;1;;;1;;1
LIBRE OFFICE WRITER;documento de texto, LIBRE OFFICE, OPEN OFFICE;OFIMATICA;SOFTWARE_LIBRE;;;;1;;;1;;1;;1;1;1;;1;1;;1;;;1;;1
OFFICE 365;OFICE 365,;OFIMATICA;;;;;1;;;1;;1;;1;1;1;1;;;;1;;1;1;;
POWER POINT;POWERPOINT, PRESENTACIONES;OFIMATICA;TTDD_PED_EVAL;;;;1;;;1;;1;;1;1;1;;;;;1;;;1;;
WORD;documento de texto;OFIMATICA;;;;;1;;;1;;1;;1;1;1;;1;;;1;;;1;;
MUSESCORE;editor de partituras;OFIMATICA;SOFTWARE_LIBRE;;;;1;;;1;;1;;;;1;;;1;;1;;;1;;
CANVA;Canvas;OFIMATICA;NUBE;1;1;;1;1;;1;;1;;1;1;1;;;;;1;;1;1;;
GENIALLY;GENIALY, GENIALI,;OFIMATICA;TTDD_PED_EVAL;1;1;;1;1;;1;;1;;1;1;1;;;;1;1;;;1;;
GOOGLE SHEETS;GOOGLE SHEET, GOOGLE SHETS, GOOGLE SHET, GOGLE SHEET, GOGLE SHET, GOLGLE SHETS, GOOGLE APPS, GOOGLE APP, documentos colaborativos, documento colaborativo;OFIMATICA;NUBE;1;1;;1;1;;1;;1;;;;1;1;;;;1;;1;1;;
G-SUITE;G SUITE, GSUITE, google suite, GOOGLE SUIT, G.SUITE, G Suit,;OFIMATICA;NUBE;1;1;;1;1;;1;;1;1;1;1;1;1;1;;1;1;;1;1;;
WORKSPACE;WORK SPACE, WORK-SPACE;OFIMATICA;NUBE;1;1;;1;1;;1;;1;1;1;1;1;1;1;;1;1;;1;1;;
FORMULARIOS DE GOOGLE;GOOGLE FORMS, GOGLE FORMS, FORMS, ;OFIMATICA;TTDD_PED_EVAL;1;1;;1;1;;1;;1;1;1;;1;1;;;;1;;;1;;
PRESENTACIONES DE GOOGLE;GOOGLE SLIDES, SLIDES;OFIMATICA;TTDD_PED_EVAL;1;1;;1;1;;1;;1;;1;1;1;;;;;1;;;1;;
